date,open,high,low,close,Volume ETH,Volume USDT
8/8/2018 0:00,378.2,380.42,347.25,355.48,275047.1079,100391980.2
8/9/2018 0:00,355.48,369.9,350.51,363.3,244268.2057,88131409.54
8/10/2018 0:00,363.21,365.87,325.95,331.81,264274.1338,93178451.14
8/11/2018 0:00,331.88,332.98,304.45,317.69,335634.6724,106734997.2
8/12/2018 0:00,317.49,327.13,313.42,317.89,135524.7999,43466733.75
8/13/2018 0:00,317.96,321.99,280.68,283.81,307713.2221,94158006.49
8/14/2018 0:00,283.81,283.81,250,278.41,485174.3754,127753385
8/15/2018 0:00,278.47,304.45,276.3,281.12,438620.6416,126037140.7
8/16/2018 0:00,281.46,298.6,277.55,287.17,235665.2551,67837020.51
8/17/2018 0:00,286.84,318,285,317.51,342556.4607,103050444.6
8/18/2018 0:00,317.51,321.33,281.79,294.11,384021.3883,115559326.6
8/19/2018 0:00,294.1,307.4,288.2,299.42,288483.4484,85661942.29
8/20/2018 0:00,299.3,304.04,269.5,270.51,219153.7894,63253937.42
8/21/2018 0:00,270.51,285.9,269.7,281.21,224701.5767,62384768.41
8/22/2018 0:00,281.09,298.89,259.5,270.8,403936.783,113458567.8
8/23/2018 0:00,270.68,280.3,267.55,275.99,277304.6091,75819913.2
8/24/2018 0:00,276.06,283.1,270.22,281.19,271850.2137,75029435.43
8/25/2018 0:00,281.05,282.71,275.99,277.55,253375.4948,70728357.01
8/26/2018 0:00,277.54,277.91,268.69,274.29,232525.9497,63548492.84
8/27/2018 0:00,274.17,288.15,271.59,287.71,281020.6473,77863316
8/28/2018 0:00,287.71,298,282.66,295.44,318323.2897,91895213.46
8/29/2018 0:00,295.44,297,283.55,288.4,324275.4732,94515756.42
8/30/2018 0:00,288.35,291,271.88,283.89,336993.1441,94748097.37
8/31/2018 0:00,283.9,289,276.59,281.41,302663.3704,84967488.71
9/1/2018 0:00,281.46,302,281.34,295.71,294944.4401,86146416.37
9/2/2018 0:00,295.8,299.33,288.87,295.41,153300.0611,45141040.56
9/3/2018 0:00,295.51,296.62,285.99,289.09,274753.7006,79640131.71
9/4/2018 0:00,289.09,292.64,283,285.3,330102.19,94920949.99
