Date,Open,High,Low,Adj Close,Volume,RSI,EMA_short,EMA_long
6/12/2022,28373.51367,28502.68555,26762.64844,26762.64844,34163220274,34.15556588,29856.08997,35609.58325
6/13/2022,26737.57813,26795.58984,22141.25781,22487.38867,68204556440,25.09928101,29154.30889,35349.73782
6/14/2022,22487.98633,23018.95117,20950.81836,22206.79297,50913575242,24.63986239,28492.64071,35089.48148
6/15/2022,22196.73047,22642.67188,20178.37695,22572.83984,54912007015,26.51977097,27928.85015,34841.62719
6/16/2022,22576.30469,22868.92188,20265.22656,20381.65039,31183975654,22.86200575,27210.06922,34555.29102
6/17/2022,20385.71875,21243.3125,20326.51953,20471.48242,27132421514,23.32652713,26568.29905,34276.40372
6/18/2022,20473.42578,20736.04102,17708.62305,19017.64258,42009436760,21.12105514,25849.18891,33974.25003
6/19/2022,19010.90234,20683.82227,18067.15234,20553.27148,35329942625,28.74531705,25344.81582,33708.48808
6/20/2022,20553.37109,20913.32227,19689.16992,20599.53711,30818458597,28.9669491,24892.88452,33448.90489
6/21/2022,20594.29492,21620.62891,20415.0625,20710.59766,28970212744,29.53069543,24494.57148,33196.66119
6/22/2022,20719.41406,20835.75,19848.07813,19987.0293,28574793478,27.98058366,24065.28175,32935.08432
6/23/2022,19986.60742,21135.76172,19950.11719,21085.87695,26188097173,33.64775214,23781.52891,32700.44655
6/24/2022,21084.64844,21472.91797,20777.51172,21231.65625,24957784918,34.38169646,23538.6839,32473.34179
6/25/2022,21233.60938,21520.91406,20964.58594,21502.33789,18372538715,35.79457672,23344.74618,32256.09419
6/26/2022,21496.49414,21783.72461,21016.26953,21027.29492,18027170497,34.40174654,23124.03654,32033.74173
6/27/2022,21028.23828,21478.08984,20620.19922,20735.47852,20965695707,33.54269557,22896.55482,31810.01374
6/28/2022,20731.54492,21164.42383,20228.8125,20280.63477,21381535161,32.19990351,22647.41958,31581.70921
6/29/2022,20281.16992,20364.15625,19937.79102,20104.02344,23552740328,31.67241677,22405.19137,31354.4283
6/30/2022,20108.3125,20141.16016,18729.65625,19784.72656,26267239923,30.69830082,22155.6233,31125.3253
7/1/2022,19820.4707,20632.67188,19073.70898,19269.36719,30767551159,29.1479967,21880.74176,30890.55385
7/2/2022,19274.83594,19371.74805,19027.08203,19242.25586,18100418740,29.06526334,21629.45739,30659.89448
7/3/2022,19242.0957,19558.26953,18966.95117,19297.07617,16390821947,29.4987966,21407.32585,30434.88818
7/4/2022,19297.31445,20258.74805,19063.06641,20231.26172,21594638208,36.5761505,21295.31974,30232.83617
7/5/2022,20225.35352,20635.4668,19341.23242,20190.11523,26715546990,36.40369278,21190.06217,30033.97041
7/6/2022,20194.61914,20595.5293,19823.51172,20548.24609,24598943708,39.08224882,21128.93683,29846.13428
7/7/2022,20547.81445,21771.81641,20296.10352,21637.58789,25814972520,46.4347875,21177.37979,29683.58881
7/8/2022,21637.1543,22314.94141,21257.45313,21731.11719,49899834488,47.02299101,21230.11668,29526.11413
7/9/2022,21716.82813,21877.13867,21445.95703,21592.20703,29641127858,46.21541905,21264.60148,29369.00705
7/10/2022,21591.08008,21591.08008,20727.12305,20860.44922,28688807249,42.13152255,21226.11078,29200.52076
7/11/2022,20856.35352,20856.35352,19924.53906,19970.55664,24150249025,37.78141951,21106.5342,29017.74919
7/12/2022,19970.47461,20043.44531,19308.53125,19323.91406,25810220018,34.97028578,20936.76085,28825.79206
7/13/2022,19325.97266,20223.05273,18999.95313,20212.07422,33042430345,41.38799487,20867.74308,28655.22339
7/14/2022,20211.4668,20789.89453,19689.25781,20569.91992,31158743333,43.78298489,20839.37897,28495.11837
7/15/2022,20573.15625,21138.24414,20397,20836.32813,25905575359,45.5574624,20839.08841,28343.45916
7/16/2022,20834.10352,21514.4043,20518.89844,21190.31641,24302954056,47.89875314,20872.5387,28201.81277
7/17/2022,21195.04102,21600.64063,20778.17969,20779.34375,22927802083,45.46656909,20863.66299,28054.83318
7/18/2022,20781.91211,22633.0332,20781.91211,22485.68945,39974475562,55.51509234,21018.1417,27944.55311
7/19/2022,22467.84961,23666.96289,21683.40625,23389.43359,48765202697,59.72626477,21243.97902,27854.35272
7/20/2022,23393.19141,24196.81836,23009.94922,23231.73242,42932549127,58.68756727,21433.28887,27762.81569
7/21/2022,23233.20117,23388.32227,22431.14844,23164.62891,33631012204,58.22591642,21598.1784,27671.76249
7/22/2022,23163.75195,23671.92773,22603.41602,22714.97852,31421555646,55.11335921,21704.54031,27573.60835
7/23/2022,22706.98438,22977.21094,22002.91016,22465.47852,24021799169,53.41578252,21777.01062,27472.45726
7/24/2022,22465.50977,22974.00195,22306.83984,22609.16406,23565495303,54.28462406,21856.26333,27376.15443
7/25/2022,22607.15625,22649.12109,21361.64258,21361.70117,35574561406,46.25904769,21809.16217,27257.05634
7/26/2022,21361.12109,21361.12109,20776.81641,21239.75391,28624673855,45.55365608,21754.93281,27137.90184
7/27/2022,21244.16992,22986.5293,21070.80664,22930.54883,31758955233,55.6092585,21866.89624,27054.58792
7/28/2022,22933.64063,24110.4707,22722.26563,23843.88672,40212386158,59.89603149,22055.18105,26991.00968
7/29/2022,23845.21289,24294.78711,23481.17383,23804.63281,35887249746,59.63086184,22221.7955,26927.9131
7/30/2022,23796.81836,24572.58008,23580.50781,23656.20703,28148218301,58.58019209,22358.40612,26863.12684
7/31/2022,23652.07031,24121.64258,23275.70313,23336.89648,23553591896,56.29394092,22451.59568,26793.3005
8/1/2022,23336.71875,23464.78711,22890.79688,23314.19922,25849159141,56.12711276,22533.7484,26724.40741
8/2/2022,23308.43359,23415.04102,22710.08398,22978.11719,28389250717,53.60675499,22576.06924,26650.22344
8/3/2022,22981.30273,23578.65039,22747.83594,22846.50781,26288169966,52.61544946,22601.82529,26574.90234
8/4/2022,22848.21484,23198.00977,22485.70117,22630.95703,25120229769,50.9617435,22604.59974,26496.80441
8/5/2022,22626.83398,23422.82813,22612.17773,23289.31445,28881249043,55.53512508,22669.81067,26433.28976
8/6/2022,23291.42383,23326.5625,22961.2793,22961.2793,15978259885,52.90127856,22697.56958,26364.53708
8/7/2022,22963.50586,23359.00977,22894.55664,23175.89063,15886817043,54.41666799,22743.12397,26301.39556
8/8/2022,23179.52734,24203.68945,23176.54688,23809.48633,28575544847,58.62733973,22844.68229,26252.05083
8/9/2022,23811.48438,23898.61523,22982,23164.31836,23555719219,53.25987434,22875.12382,26190.90761
8/10/2022,23162.89844,24127.41406,22771.51953,23947.64258,32837431722,58.23407345,22977.26846,26146.48652
8/11/2022,23948.3457,24822.62891,23900.99609,23957.5293,37127036580,58.29409465,23070.62664,26103.14083
